Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Dynamics AX 2009,,Service Pack 1,,Fixed,03/11/2008,12/04/2022,-1596,Out of Support
,Dynamics AX 2012,,Original Release,,Fixed,25/09/2011,12/04/2022,-1596,Out of Support
,Dynamics AX 2012 R2,,Original Release,,Fixed,19/02/2013,12/04/2022,-1596,Out of Support
,Dynamics AX 2012 R3,,Original Release,,Fixed,01/08/2014,10/01/2023,-1323,Out of Support
,Dynamics AX 4.0,,Original Release,,Fixed,10/09/2006,08/01/2008,-6804,Out of Support
,Dynamics AX 4.0,,Service Pack 1,,Fixed,20/12/2006,13/10/2009,-6160,Out of Support
,Dynamics AX 4.0,,Service Pack 2,,Fixed,27/07/2007,11/10/2016,-3605,Out of Support
,Dynamics C5 2008,,Original Release,,Fixed,01/12/2007,11/01/2011,-5705,Out of Support
,Dynamics C5 2008,,Service Pack 1,,Fixed,01/12/2008,08/01/2013,-4977,Out of Support
,Dynamics C5 2010,Standard,Original Release,,Fixed,30/11/2009,09/04/2013,-4886,Out of Support
,Dynamics C5 2010,Standard,Service Pack 1,,Fixed,28/02/2012,08/07/2014,-4431,Out of Support
,Dynamics C5 2010,Standard,Service Pack 2,,Fixed,15/04/2013,13/01/2015,-4242,Out of Support
,Dynamics C5 2012,Standard,Original Release,,Fixed,10/01/2012,14/01/2014,-4606,Out of Support
,Dynamics C5 2012,Standard,Service Pack 1,,Fixed,01/12/2012,11/10/2016,-3605,Out of Support
,Dynamics C5 2012,Standard,Service Pack 2,,Fixed,22/07/2014,08/01/2019,-2786,Out of Support
,Dynamics C5 2014,,Original Release,,Fixed,29/12/2013,09/01/2018,-3150,Out of Support
,Dynamics C5 2015,,Original Release,,Fixed,17/12/2014,14/01/2025,-588,Out of Support
,Dynamics C5 2016,,RTM,,Fixed,03/01/2016,14/04/2026,-133,Out of Support
,Dynamics CRM 1.2,,Original Release,,Fixed,31/10/2003,09/01/2007,-7168,Out of Support
,Dynamics CRM 2011,,Original Release (ver 5.0),,Fixed,18/05/2011,13/07/2021,-1869,Out of Support
,Dynamics CRM 2013,,Original Release (ver 6.0),,Fixed,12/01/2014,12/07/2016,-3696,Out of Support
,Dynamics CRM 2013,,Service Pack 1 (ver 6.1),,Fixed,07/05/2014,09/01/2024,-959,Out of Support
,Dynamics CRM 2015,,Original Release (ver 7.0),,Fixed,11/02/2015,14/01/2025,-588,Out of Support
,Dynamics CRM 2016 (Dynamics 365),,December 2016 Service Pack (ver 8.2),,Fixed,16/12/2016,13/01/2026,-224,Out of Support
,Dynamics CRM 2016 (Dynamics 365),,Original Release (ver 8.0),,Fixed,30/11/2015,10/07/2018,-2968,Out of Support
,Dynamics CRM 2016 (Dynamics 365),,Service Pack 1 (ver 8.1),,Fixed,23/05/2016,08/01/2019,-2786,Out of Support
,Dynamics CRM 3.0,,Original Release,,Fixed,01/12/2005,12/04/2016,-3787,Out of Support
,Dynamics CRM 4.0,,Original Release,,Fixed,29/02/2008,10/04/2018,-3059,Out of Support
,Dynamics Entrepreneur Solution 2008,,Original Release,,Fixed,13/01/2008,09/04/2013,-4886,Out of Support
,Dynamics GP 10.0,,Original Release,,Fixed,04/08/2007,12/01/2010,-6069,Out of Support
