Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Microsoft Lync Server 2010,Group Chat Software Development Kit,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync Server 2010,SDK,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync Server 2010,Standard,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync Server 2013,Enterprise,Original Release,,Fixed,25/01/2011,11/04/2023,-1232,Out of Support
,Microsoft Lync Server 2013,Persistent Chat Software Development Kit,Original Release,,Fixed,25/01/2011,11/04/2023,-1232,Out of Support
,Microsoft Lync Server 2013,Phone,Original Release,,Fixed,25/01/2011,11/04/2023,-1232,Out of Support
,Microsoft Lync Server 2013,SDK,Original Release,,Fixed,25/01/2011,11/04/2023,-1232,Out of Support
,Microsoft Lync Server 2013,Standard,Original Release,,Fixed,25/01/2011,11/04/2023,-1232,Out of Support
,Microsoft Machine Learning Server (Microsoft R Server),,Original Release,,Modern,01/01/2016,01/07/2022,-1516,Out of Support
,Microsoft Mediaroom,Application Services 1.0,Original Release,,Fixed,03/08/2010,31/12/2099,26791,Out of Support
,Microsoft Mediaroom,Client 2.0,Original Release,,Fixed,03/08/2010,31/12/2099,26791,Out of Support
,Microsoft Mediaroom,Client 2.1,Original Release,,Fixed,03/08/2010,31/12/2099,26791,Out of Support
,Microsoft Mediaroom,Server 2.0,Original Release,,Fixed,03/08/2010,31/12/2099,26791,Out of Support
,Microsoft Mediaroom,Server 2.1,Original Release,,Fixed,03/08/2010,31/12/2099,26791,Out of Support
,Microsoft Mobile Internet Toolkit 1.0,,Original Release,,Fixed,23/01/2003,09/04/2013,-4886,Out of Support
,Microsoft Office 2003,Basic,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Basic,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Basic,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Basic,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003,Professional,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Professional,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Professional,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Professional,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003,Professional Enterprise,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Professional Enterprise,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Professional Enterprise,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Professional Enterprise,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003,Small Business,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Small Business,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Small Business,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Small Business,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003,Standard,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Standard,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Standard,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Standard,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003,Student and Teacher,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Student and Teacher,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Student and Teacher,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Student and Teacher,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003,Web Components,Original Release,,Fixed,17/11/2003,27/07/2005,-7699,Out of Support
,Microsoft Office 2003,Web Components,Service Pack 1,,Fixed,27/07/2004,10/10/2006,-7259,Out of Support
,Microsoft Office 2003,Web Components,Service Pack 2,,Fixed,26/09/2005,14/10/2008,-6524,Out of Support
,Microsoft Office 2003,Web Components,Service Pack 3,,Fixed,18/09/2007,08/04/2014,-4522,Out of Support
,Microsoft Office 2003 Proofing Tools,,Original Release,,Fixed,08/12/2003,14/01/2014,-4606,Out of Support
,Microsoft Office 2003 Web Components for the 2007 Microsoft Office system,,Original Release,,Component,27/01/2007,10/10/2017,-3241,Out of Support
,Microsoft Office 2004 for Mac,Professional,Original Release,,Fixed,13/07/2004,10/01/2012,-5341,Out of Support
,Microsoft Office 2004 for Mac,Standard,Original Release,,Fixed,13/07/2004,10/01/2012,-5341,Out of Support
,Microsoft Office 2004 for Mac,Student and Teacher,Original Release,,Fixed,13/07/2004,10/01/2012,-5341,Out of Support
,Microsoft Office 2007,Basic,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Basic,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Basic,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Basic,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Enterprise,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Enterprise,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Enterprise,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Enterprise,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Home and Student,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Home and Student,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Home and Student,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Home and Student,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Multi Language Pack,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Multi Language Pack,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Multi Language Pack,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Multi Language Pack,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Professional,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Professional,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Professional,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Professional,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Professional Plus,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Professional Plus,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Professional Plus,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Professional Plus,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Small Business,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Small Business,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Small Business,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Small Business,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Standard,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Standard,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Standard,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Standard,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2007,Ultimate,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office 2007,Ultimate,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office 2007,Ultimate,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office 2007,Ultimate,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office 2008 for Mac,Business,Original Release,,Fixed,15/01/2008,14/07/2009,-6251,Out of Support
,Microsoft Office 2008 for Mac,Business,Service Pack 1,,Fixed,13/05/2008,12/10/2010,-5796,Out of Support
,Microsoft Office 2008 for Mac,Business,Service Pack 2,,Fixed,20/07/2009,09/04/2013,-4886,Out of Support
,Microsoft Office 2008 for Mac,Home and Student,Original Release,,Fixed,15/01/2008,14/07/2009,-6251,Out of Support
,Microsoft Office 2008 for Mac,Home and Student,Service Pack 1,,Fixed,13/05/2008,12/10/2010,-5796,Out of Support
,Microsoft Office 2008 for Mac,Home and Student,Service Pack 2,,Fixed,20/07/2009,09/04/2013,-4886,Out of Support
,Microsoft Office 2008 for Mac,Special Media Editon,Original Release,,Fixed,15/01/2008,14/07/2009,-6251,Out of Support
,Microsoft Office 2008 for Mac,Special Media Editon,Service Pack 1,,Fixed,13/05/2008,12/10/2010,-5796,Out of Support
,Microsoft Office 2008 for Mac,Special Media Editon,Service Pack 2,,Fixed,20/07/2009,09/04/2013,-4886,Out of Support
,Microsoft Office 2010,eAcademy,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,eAcademy,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,eAcademy,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Home and Business,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Home and Business,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Home and Business,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Home and Student,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Home and Student,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Home and Student,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Personal,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Personal,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Personal,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Professional,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Professional,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Professional,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Professional Academic,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Professional Academic,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Professional Academic,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Professional Plus,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Professional Plus,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Professional Plus,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Professional Plus Home Use Program,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Professional Plus Home Use Program,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Professional Plus Home Use Program,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Standard,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Standard,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Standard,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2010,Starter,Original Release,,Fixed,15/07/2010,10/07/2012,-5159,Out of Support
,Microsoft Office 2010,Starter,Service Pack 1,,Fixed,28/06/2011,14/10/2014,-4333,Out of Support
,Microsoft Office 2010,Starter,Service Pack 2,,Fixed,23/07/2013,13/10/2020,-2142,Out of Support
,Microsoft Office 2013,Home and Business,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Home and Business,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Home and Student,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Home and Student,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Multi Language Pack,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Multi Language Pack,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Professional,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Professional,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Professional Plus,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Professional Plus,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Professional Plus Home Use Program,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Professional Plus Home Use Program,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Standard,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Standard,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2013,Web Apps Server,Original Release,,Fixed,09/01/2013,14/04/2015,-4151,Out of Support
,Microsoft Office 2013,Web Apps Server,Service Pack 1,,Fixed,25/02/2014,11/04/2023,-1232,Out of Support
,Microsoft Office 2016,Home and Business,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Microsoft Office 2016,Home and Student,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Microsoft Office 2016,Personal,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Microsoft Office 2016,Professional,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Microsoft Office 2016,Professional Plus,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Microsoft Office 2016,Standard,Original Release,,Fixed,22/09/2015,14/10/2025,-315,Out of Support
,Microsoft Office 2016 for Mac,Home and Business,Original Release,,Fixed,22/09/2015,13/10/2020,-2142,Out of Support
,Microsoft Office 2016 for Mac,Home and Student,Original Release,,Fixed,22/09/2015,13/10/2020,-2142,Out of Support
,Microsoft Office 2016 for Mac,Standard,Original Release,,Fixed,22/09/2015,13/10/2020,-2142,Out of Support
,Microsoft Office 2019,Home and Business,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019,Home and Student,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019,Personal,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019,Professional,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019,Professional Academic,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019,Professional Plus,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019,Standard,Original Release,,Fixed,24/09/2018,14/10/2025,-315,Out of Support
,Microsoft Office 2019 for Mac,Academic,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,Microsoft Office 2019 for Mac,Home and Business,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,Microsoft Office 2019 for Mac,Home and Student,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,Microsoft Office 2019 for Mac,Standard,Original Release,,Fixed,24/09/2018,10/10/2023,-1050,Out of Support
,Microsoft Office Access 2003,,Original Release,,Fixed,27/11/2003,08/04/2014,-4522,Out of Support
,Microsoft Office Access 2007,,Original Release,,Fixed,27/01/2007,13/01/2009,-6433,Out of Support
,Microsoft Office Access 2007,,Service Pack 1,,Fixed,11/12/2007,13/07/2010,-5887,Out of Support
,Microsoft Office Access 2007,,Service Pack 2,,Fixed,28/04/2009,08/01/2013,-4977,Out of Support
,Microsoft Office Access 2007,,Service Pack 3,,Fixed,25/10/2011,10/10/2017,-3241,Out of Support
,Microsoft Office Audit and Control Management Server 2013,,Original Release,,Fixed,16/07/2013,10/10/2023,-1050,Out of Support
,Microsoft Office Business Scorecard Manager 2005,,Original Release,,Fixed,27/12/2005,12/01/2016,-3878,Out of Support
,Microsoft Office Communications Server 2007,Enterprise,Original Release,,Fixed,27/10/2007,09/01/2018,-3150,Out of Support
,Microsoft Office Communications Server 2007,Standard,Original Release,,Fixed,27/10/2007,09/01/2018,-3150,Out of Support
,Microsoft Office Communications Server 2007 R2,All applicable,Original Release,,Fixed,28/09/2009,09/01/2018,-3150,Out of Support
,Microsoft Office Communications Server 2007 R2,Enterprise,Original Release,,Fixed,28/09/2009,09/01/2018,-3150,Out of Support
,Microsoft Office Communications Server 2007 R2,XMPP Gateway,Original Release,,Fixed,28/09/2009,09/01/2018,-3150,Out of Support
